"id","title","title_en","title_ja","icon","parent_id","sort_order","created_at","updated_at","path","name","component","keep_alive","redirect"
"1","仪表盘","Dashboard","ダッシュボード","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""12"" cy=""12"" r=""9""/><path d=""M12 12l4-4""/><path d=""M7 12a5 5 0 0 1 10 0""/></svg>","0","1","7/1/2026 19:53:00","13/1/2026 01:34:00","/overview","Overview","Layout","0",
"2","内容管理","Content Management","コンテンツ管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""3"" y=""5"" width=""18"" height=""14"" rx=""2""/><path d=""M7 5v14M17 5v14M3 9h4M3 15h4M17 9h4M17 15h4""/></svg>","0","2","7/1/2026 19:53:00","13/1/2026 01:34:00","/content","Content","Layout","0","/content/review"
"3","社区治理","Community Moderation","コミュニティ管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""8"" cy=""8"" r=""3""/><circle cx=""16"" cy=""8"" r=""3""/><path d=""M2 20c0-3 3-5 6-5""/><path d=""M22 20c0-3-3-5-6-5""/></svg>","0","3","7/1/2026 19:53:00","13/1/2026 01:34:00","/community","Community","Layout","0","/community/reports"
"4","营销推广","Marketing & Promotion","マーケティング","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M3 11l13-5v12L3 13z""/><path d=""M16 6l5-2v16l-5-2""/><path d=""M7 16v3a2 2 0 0 0 2 2h1""/></svg>","0","4","7/1/2026 19:53:00","13/1/2026 01:34:00","/marketing","Marketing","Layout","0","/marketing/banners"
"5","用户管理","User Management","ユーザー管理","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><circle cx=""12"" cy=""8"" r=""4""/><path d=""M4 20c2-4 6-6 8-6s6 2 8 6""/></svg>","0","5","7/1/2026 19:53:00","13/1/2026 01:34:00","/users","Users","Layout","0","/users/list"
"6","系统权限","System Permissions","システム権限","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M12 3l8 4v5c0 5-3.5 9-8 9s-8-4-8-9V7l8-4z""/></svg>","0","6","7/1/2026 19:53:00","13/1/2026 01:34:00","/system","System","Layout","0","/system/roles"
"21","稿件审核","Submission Review","投稿審査","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""3"" y=""3"" width=""18"" height=""18"" rx=""2""/><path d=""M8 12l3 3 5-6""/></svg>","2","1","7/1/2026 19:53:00","13/1/2026 01:34:00","review","SubmissionReview","views/content/review/index.vue","0",
"22","视频列表","Video List","動画一覧","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><path d=""M4 6h10""/><path d=""M4 12h10""/><path d=""M4 18h10""/><polygon points=""16,9 22,12 16,15""/></svg>","2","2","7/1/2026 19:53:00","13/1/2026 01:34:01","videos","VideoList","views/content/videos/index.vue","0",
"23","视频回收站","Video Recycle Bin","動画ごみ箱","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><polyline points=""3 6 5 6 21 6""/><path d=""M8 6V4h8v2""/><rect x=""6"" y=""6"" width=""12"" height=""14"" rx=""2""/></svg>","2","3","7/1/2026 19:53:00","13/1/2026 01:34:01","recycle","VideoRecycle","views/content/recycle/index.vue","0",
"24","分区配置","Category Configuration","カテゴリ設定","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24"" fill=""none"" stroke=""currentColor"" stroke-width=""2"" stroke-linecap=""round"" stroke-linejoin=""round""><rect x=""4"" y=""4"" width=""6"" height=""6""/><rect x=""14"" y=""4"" width=""6"" height=""6""/><rect x=""4"" y=""14"" width=""6"" height=""6""/><rect x=""14"" y=""14"" width=""6"" height=""6""/></svg>","2","4","7/1/2026 19:53:00","13/1/2026 01:34:01","categories","CategoryConfig","views/content/categories/index.vue","0",
